workerid,correct_answer,math_answer,prime,prime_condition,sentence_completion,slide_number_in_experiment,target,error,label
28,filler,15,Filler21.png,Fi,stolen,11,The police learnt that the handbag of the diplomat's wife had been ____ .,,
28,filler,15,Filler10.png,Fi,being seen,12,The patient had to wait for quite some time before ____ .,,
28,filler,6,Filler05.png,Fi,the patron,13,The barman slid a whiskey and a beer over to ____.,,
28,20,4,LAprime05.png,LA,owed him,14,A stranger blackmailed the butler of the royals who ____ .,,U
28,filler,1,Filler13.png,Fi,price hikes,15,The management of the successful supermarket chain planned ____ .,,
28,19,9,BLprime09.png,BL,was next to him,16,The bus driver talked to the leader of the boy scouts who ____ .,,H
28,13,14,HAprime10.png,HA,fined him,17,The homeowner kept the letters of the office that ____ .,,L
28,filler,12,Filler22.png,Fi,less drivers crashed,18,Thanks to stricter speed checks on national motorways ____.,,
28,filler,15,Filler06.png,Fi,loose,19,The conductor noticed that the strings of the soloist's violin were ____ .,,
28,2,2,BLprime01.png,BL,he reviewed,20,The scientist criticised the method of the studies that ____ .,,L
28,7,7,LAprime06.png,LA,the money came through,21,The commission referred to the source of the donations that ____ .,,H
28,12,12,HAprime08.png,HA,they loved,22,The social worker greeted the nurse of the senior-citizens who ____.,,H
28,filler,2,Filler09.png,Fi,resigned,23,The prime minister held a press conference and shortly afterwards ____ .,,
28,filler,14,Filler01.png,Fi,on her lawn,24,The woman complained that the bicycles of the neighbour's kids were ____ .,,
28,filler,7,Filler20.png,Fi,white,25,The captain recalled that sails of the pirates' ship were ____ .,,
28,filler,3,Filler11.png,Fi,campers,26,The ranger of the forest near the city borders forbid ____ .,,
28,filler,14,Filler18.png,Fi,the press,27,The racing driver showed the torn overall to ____ .,,
28,filler,3,Filler12.png,Fi,committed perjury,28,The overeager Crown Prosecutor alleged that the lawyer ____ .,,
28,3,3,LAprime04.png,LA,printed funnies,29,We were amused at the articles of the newspaper that ____ .,,L
28,filler,4,Filler16.png,Fi,he acted alone,30,The accomplice of the recently convicted fraudster alleged ____ .,,
28,filler,5,Filler04.png,Fi,people were late,31,Because of a considerable delay of the 7:30am train ____ .,,
28,filler,16,Filler19.png,Fi,the set,32,The famous entertainer was given a bunch of flowers after ____ .,,
28,9,9,HAprime11.png,HA,rang everyday,33,The tourist guide mentioned the bells of the church that ____ .,,H
28,filler,12,Filler02.png,Fi,ate it,34,"After washing the salad with its firm green leaves, the scullion ____ .",,
28,filler,10,Filler14.png,Fi,the seatbelt sign came on,35,Shortly before the fully occupied passenger plane has landed ____ .,,
28,filler,4,Filler07.png,Fi,no one could enter,36,The teenagers barricaded the main entrance of the school so that ____ .,,
28,19,19,LAprime07.png,LA,protected them,37,The minister saw the bodyguard of the diplomats who ____ .,,H
15,filler,5,Filler04.png,Fi,I was late to work,2,Because of a considerable delay of the 7:30am train ____ .,,
15,filler,12,Filler02.png,Fi,a party for their employees,3,The management of the successful supermarket chain planned ____ .,,
15,filler,7,Filler24.png,Fi,the swear word could be broadcast,4,The speaker switched off the microphone before ____ .,,
15,15,15,HAprime06.png,HA,had billed him in error,5,The homeowner kept the letters of the office that ____ .,,L
15,filler,1,Filler03.png,Fi,the shady man at the end of the bar shrouded in shadows,6,The barman slid a whiskey and a beer over to ____.,,
15,5,5,LAprime10.png,LA,had saved the young boy from being hit by a train by calling his name,7,The social worker greeted the nurse of the senior-citizens who ____.,,H
15,filler,2,Filler14.png,Fi,the house upstairs,8,The postman delivered a small parcel to ____ .,,
15,filler,14,Filler01.png,Fi,it was hard to grow seedlings that year,9,Because of unexpectedly harsh weather conditions in spring ____ .,,
15,filler,16,Filler19.png,Fi,scrubbed and sanitized,10,The lieutenant ordered that the floors of the battalion's barracks were ____ .,,
15,filler,12,Filler22.png,Fi,more people get arrested for speeding,11,Thanks to stricter speed checks on national motorways ____.,,
15,filler,3,Filler08.png,Fi,the flight attendant will make an announcement,12,Shortly before the fully occupied passenger plane has landed ____ .,,
15,17,4.5,HAprime02.png,HA,was wearing a leather jacket,13,The bus driver talked to the leader of the boy scouts who ____ .,,H
15,11,11,HAprime04.png,HA,had purple pants,14,The minister saw the bodyguard of the diplomats who ____ .,,U
15,filler,6,Filler05.png,Fi,the building behind him burned to the ground,15,The prime minister held a press conference and shortly afterwards ____ .,,
15,filler,4,Filler07.png,Fi,people to park outside his living quarters,16,The ranger of the forest near the city borders forbid ____ .,,
15,1,1,LAprime11.png,LA,was said not to exist,17,The secret service confiscated all files of the organisation that ____ .,,L
15,filler,1,Filler13.png,Fi,no one could get in or out,18,The teenagers barricaded the main entrance of the school so that ____ .,,
15,19,19,BLprime05.png,BL,rang for the last time in the 14th century,19,The tourist guide mentioned the bells of the church that ____ .,,H
15,19,9,BLprime09.png,BL,Tom used to work at,20,We were amused at the articles of the newspaper that ____ .,,L
15,filler,3,Filler11.png,Fi,slightly too long,21,The conductor noticed that the strings of the soloist's violin were ____ .,,
15,filler,2,Filler09.png,Fi,never unfurled as Richard had claimed,22,The captain recalled that sails of the pirates' ship were ____ .,,
15,11,11,LAprime12.png,LA,refused to give them a discount,23,The hacker attacked the web sites of the service provider that ____ .,,L
15,filler,7,Filler20.png,Fi,he finished performing at the Ritz,24,The famous entertainer was given a bunch of flowers after ____ .,,
15,24,24,BLprime07.png,BL,had expanded suspiciously quickly,25,The superintendent checked the earnings of the company that ____ .,,L
15,filler,15,Filler21.png,Fi,he felt it was the best way he could help,26,The priest looked after the asylum seekers because ____ .,,
15,filler,5,Filler17.png,Fi,that the fraudster had absconded with all of the money and not paid him his fair share,27,The accomplice of the recently convicted fraudster alleged ____ .,,
15,filler,15,Filler06.png,Fi,in the way of her preferred parking spot,28,The woman complained that the bicycles of the neighbour's kids were ____ .,,
15,16,16,HAprime03.png,HA,found the cancer cells in the rats,29,The scientist criticised the method of the studies that ____ .,,L
15,filler,15,Filler10.png,Fi,the doctor spoke to them,30,The patient had to wait for quite some time before ____ .,,
15,filler,4,Filler16.png,Fi,had been seen being friendly with both sides of the court case,31,The overeager Crown Prosecutor alleged that the lawyer ____ .,,
15,26,26,BLprime08.png,BL,was just old enough to be prosecuted,32,A stranger blackmailed the butler of the royals who ____ .,,H
15,filler,3,Filler12.png,Fi,shook off the water and placed it into a bowl,33,"After washing the salad with its firm green leaves, the scullion ____ .",,
15,8,8,LAprime01.png,LA,was supposed to remain anonymous,34,The commission referred to the source of the donations that ____ .,,H
15,filler,7,Filler23.png,Fi,realized she had all the symptoms of glaucoma,35,"Because of last night's TV documentary, the old lady ____ .",,
15,filler,7,Filler15.png,Fi,"the mechanic in the pit crew, who swiftly patched it with duct tape to get him back on the track",36,The racing driver showed the torn overall to ____ .,,
15,filler,14,Filler18.png,Fi,stolen from under her chair,37,The police learnt that the handbag of the diplomat's wife had been ____ .,,
51,26,26,BLprime04.png,BL,we used for our payroll,2,The hacker attacked the web sites of the service provider that ____ .,,H
51,26,26,BLprime08.png,BL,mentioned the show dog competition,3,We were amused at the articles of the newspaper that ____ .,,H
51,filler,4,Filler07.png,Fi,a large celebration for the opening of a new location,4,The management of the successful supermarket chain planned ____ .,,
51,filler,15,Filler06.png,Fi,bonfires in his jurisdiction,5,The ranger of the forest near the city borders forbid ____ .,,
51,20,20,LAprime05.png,LA,contained information pertaining to the open investigation,6,The secret service confiscated all files of the organisation that ____ .,,H
51,filler,2,Filler09.png,Fi,"swept clean, or there would be consequences",7,The lieutenant ordered that the floors of the battalion's barracks were ____ .,,
51,12,12,HAprime12.png,HA,had assisted with her buying the house,8,The homeowner kept the letters of the office that ____ .,,L
51,filler,1,Filler13.png,Fi,there have been less speeding accidents this year,9,Thanks to stricter speed checks on national motorways ____.,,
51,filler,4,Filler16.png,Fi,he understood that they were fleeing from danger,10,The priest looked after the asylum seekers because ____ .,,
51,filler,7,Filler24.png,Fi,she told the judge her thoughts on the competition,11,The speaker switched off the microphone before ____ .,,
51,filler,14,Filler18.png,Fi,the front porch of the mayor's house,12,The postman delivered a small parcel to ____ .,,
51,2,2,LAprime03.png,LA,had been rescued from an abusive caretaker,13,The social worker greeted the nurse of the senior-citizens who ____.,,L
51,filler,10,Filler14.png,Fi,prepared the rest of the gourmet meal,14,"After washing the salad with its firm green leaves, the scullion ____ .",,
51,filler,3,Filler08.png,Fi,she gave her acceptance speech,15,The famous entertainer was given a bunch of flowers after ____ .,,
51,filler,14,Filler01.png,Fi,the doctor who just arrived after a long day,16,The barman slid a whiskey and a beer over to ____.,,
51,15,15,BLprime10.png,BL,are played every hour of the day,17,The tourist guide mentioned the bells of the church that ____ .,,H
51,filler,12,Filler02.png,Fi,that they were forced to participate in the crimes,18,The accomplice of the recently convicted fraudster alleged ____ .,,
51,filler,7,Filler15.png,Fi,in her driveway,19,The woman complained that the bicycles of the neighbour's kids were ____ .,,
51,2,2,BLprime01.png,BL,helped remodel the old science lab,20,The commission referred to the source of the donations that ____ .,,L
51,filler,12,Filler22.png,Fi,the armed shooter could not enter,21,The teenagers barricaded the main entrance of the school so that ____ .,,
51,filler,3,Filler12.png,Fi,the flight attendants advised everyone to buckle their seatbelts,22,Shortly before the fully occupied passenger plane has landed ____ .,,
51,filler,7,Filler23.png,Fi,they were seen by their primary care physician,23,The patient had to wait for quite some time before ____ .,,
51,filler,3,Filler11.png,Fi,in poor condition,24,The captain recalled that sails of the pirates' ship were ____ .,,
51,filler,15,Filler10.png,Fi,tattered and needed to be replaced,25,The conductor noticed that the strings of the soloist's violin were ____ .,,
51,filler,5,Filler04.png,Fi,hosted a dinner for his guests,26,The prime minister held a press conference and shortly afterwards ____ .,,
51,filler,5,Filler17.png,Fi,made sure her doors were locked and windows were closed before going to bed,27,"Because of last night's TV documentary, the old lady ____ .",,
51,filler,7,Filler20.png,Fi,the commuters were extremely late to work,28,Because of a considerable delay of the 7:30am train ____ .,,
51,filler,6,Filler05.png,Fi,"was not qualified for the position, and he was better fit for the job",29,The overeager Crown Prosecutor alleged that the lawyer ____ .,,
51,15,15,HAprime06.png,HA,knew a lot of their personal information and daily routes,30,A stranger blackmailed the butler of the royals who ____ .,,H
51,14,14,LAprime02.png,LA,was known to be very intimidating,31,The minister saw the bodyguard of the diplomats who ____ .,,H
51,filler,1,Filler03.png,Fi,his wife after his race,32,The racing driver showed the torn overall to ____ .,,
51,1,1,HAprime09.png,HA,focused on only a small sample size,33,The scientist criticised the method of the studies that ____ .,,U
51,13,13,HAprime07.png,HA,was in charge of providing their schools' lunch meals,34,The superintendent checked the earnings of the company that ____ .,,L
51,1,1,LAprime11.png,LA,was known to be the best free climber in town,35,The bus driver talked to the leader of the boy scouts who ____ .,,H
51,filler,15,Filler21.png,Fi,a lot of the crops were destroyed and there was a corn shortage,36,Because of unexpectedly harsh weather conditions in spring ____ .,,
51,filler,16,Filler19.png,Fi,stolen after the press conference,37,The police learnt that the handbag of the diplomat's wife had been ____ .,,
59,filler,1,Filler13.png,Fi,cleaned,2,The lieutenant ordered that the floors of the battalion's barracks were ____ .,,
59,filler,10,Filler14.png,Fi,sales,3,The management of the successful supermarket chain planned ____ .,,
59,filler,15,Filler21.png,Fi,cried,4,"Because of last night's TV documentary, the old lady ____ .",,
59,filler,12,Filler22.png,Fi,being admitted to hospital,5,The patient had to wait for quite some time before ____ .,,
59,filler,15,Filler06.png,Fi,the manager,6,The racing driver showed the torn overall to ____ .,,
59,2,2,HAprime05.png,HA,was a previous vendor,7,The superintendent checked the earnings of the company that ____ .,,L
59,filler,14,Filler01.png,Fi,the show,8,The famous entertainer was given a bunch of flowers after ____ .,,
59,14,14,LAprime02.png,LA,came to visit,9,The minister saw the bodyguard of the diplomats who ____ .,,L
59,filler,12,Filler02.png,Fi,entry to the park,10,The ranger of the forest near the city borders forbid ____ .,,
59,filler,14,Filler18.png,Fi,stolen from her house,11,The woman complained that the bicycles of the neighbour's kids were ____ .,,
59,3,3,LAprime04.png,LA,were very wealthy,12,A stranger blackmailed the butler of the royals who ____ .,,L
59,24,24,BLprime07.png,BL,were important,13,The homeowner kept the letters of the office that ____ .,,H
59,filler,7,Filler15.png,Fi,was corrupt,14,The overeager Crown Prosecutor alleged that the lawyer ____ .,,
59,filler,3,Filler08.png,Fi,the end of the conference,15,The speaker switched off the microphone before ____ .,,
59,13,13,HAprime10.png,HA,stayed at the nursing home,16,The social worker greeted the nurse of the senior-citizens who ____.,,L
59,filler,5,Filler20.png,Fi,may passengers took alternative transportations,17,Because of a considerable delay of the 7:30am train ____ .,,
59,filler,15,Filler10.png,Fi,black,18,The captain recalled that sails of the pirates' ship were ____ .,,
59,22,22,BLprime03.png,BL,discussed celerity gossip,19,We were amused at the articles of the newspaper that ____ .,,H
59,filler,5,Filler17.png,Fi,resigned,20,The prime minister held a press conference and shortly afterwards ____ .,,
59,filler,7,Filler23.png,Fi,police could not enter,21,The teenagers barricaded the main entrance of the school so that ____ .,,
59,filler,2,Filler09.png,Fi,the flight attendants asked passengers to buckle their seat belts,22,Shortly before the fully occupied passenger plane has landed ____ .,,
59,filler,6,Filler05.png,Fi,broken,23,The conductor noticed that the strings of the soloist's violin were ____ .,,
59,filler,3,Filler11.png,Fi,brought the salad out to be served,24,"After washing the salad with its firm green leaves, the scullion ____ .",,
59,19,19,BLprime06.png,BL,lacked solid scientific evidence,25,The scientist criticised the method of the studies that ____ .,,L
59,filler,4,Filler16.png,Fi,that the fraudster was behind all the schemes,26,The accomplice of the recently convicted fraudster alleged ____ .,,
59,filler,3,Filler12.png,Fi,the house,27,The postman delivered a small parcel to ____ .,,
59,5,5,HAprime01.png,HA,were on the highest tower,28,The tourist guide mentioned the bells of the church that ____ .,,H
59,filler,16,Filler19.png,Fi,stolen,29,The police learnt that the handbag of the diplomat's wife had been ____ .,,
59,18,18,LAprime09.png,LA,came from out of state,30,The commission referred to the source of the donations that ____ .,,L
59,filler,5,Filler04.png,Fi,he thought it was his duty,31,The priest looked after the asylum seekers because ____ .,,
59,filler,1,Filler03.png,Fi,to the customer,32,The barman slid a whiskey and a beer over to ____.,,
59,16,16,LAprime08.png,LA,were under investigation,33,The secret service confiscated all files of the organisation that ____ .,,H
59,filler,7,Filler24.png,Fi,the number of accidents per year decreased,34,Thanks to stricter speed checks on national motorways ____.,,
59,21,21,BLprime12.png,BL,was sitting near the front of the bus,35,The bus driver talked to the leader of the boy scouts who ____ .,,H
59,filler,4,Filler07.png,Fi,many school field trips were canceled,36,Because of unexpectedly harsh weather conditions in spring ____ .,,
59,9,9,HAprime11.png,HA,serviced large corporations,37,The hacker attacked the web sites of the service provider that ____ .,,L
19,filler,1,Filler13.png,Fi,the mailbox,2,The postman delivered a small parcel to ____ .,,
19,19,9,BLprime09.png,BL,he works at,3,The homeowner kept the letters of the office that ____ .,,L
19,filler,1,Filler03.png,Fi,leaving,4,The speaker switched off the microphone before ____ .,,
19,8,8,LAprime01.png,LA,were made,5,The commission referred to the source of the donations that ____ .,,L
19,filler,4,Filler16.png,Fi,a party,6,The management of the successful supermarket chain planned ____ .,,
19,filler,7,Filler24.png,Fi,bugged,7,The police learnt that the handbag of the diplomat's wife had been ____ .,,
19,filler,14,Filler01.png,Fi,departure,8,Because of a considerable delay of the 7:30am train ____ .,,
19,filler,15,Filler06.png,Fi,chopped it up,9,"After washing the salad with its firm green leaves, the scullion ____ .",,
19,filler,3,Filler12.png,Fi,her,10,The barman slid a whiskey and a beer over to ____.,,
19,22,22,BLprime03.png,BL,implicated,11,A stranger blackmailed the butler of the royals who ____ .,,U
19,filler,16,Filler19.png,Fi,was wrong,12,The overeager Crown Prosecutor alleged that the lawyer ____ .,,
19,14,17,LAprime02.png,LA,came today,13,We were amused at the articles of the newspaper that ____ .,,L
19,13,13,HAprime07.png,HA,he did not like,14,The hacker attacked the web sites of the service provider that ____ .,,U
19,filler,3,Filler08.png,Fi,today,15,Thanks to stricter speed checks on national motorways ____.,,
19,filler,10,Filler14.png,Fi,no one could pass,16,The teenagers barricaded the main entrance of the school so that ____ .,,
19,7,7,LAprime06.png,LA,he hired,17,The superintendent checked the earnings of the company that ____ .,,L
19,filler,1,Filler23.png,Fi,went home,18,The prime minister held a press conference and shortly afterwards ____ .,,
19,13,13,HAprime10.png,HA,rang,19,The tourist guide mentioned the bells of the church that ____ .,,H
19,filler,12,Filler22.png,Fi,", the crops failed",20,Because of unexpectedly harsh weather conditions in spring ____ .,,
19,filler,3,Filler11.png,Fi,broken,21,The conductor noticed that the strings of the soloist's violin were ____ .,,
19,1,1,LAprime11.png,LA,sat in front,22,The bus driver talked to the leader of the boy scouts who ____ .,,H
19,filler,12,Filler02.png,Fi,him,23,The accomplice of the recently convicted fraudster alleged ____ .,,
19,12,12,HAprime12.png,HA,came to meet,24,The minister saw the bodyguard of the diplomats who ____ .,,L
19,filler,6,Filler05.png,Fi,entry,25,The ranger of the forest near the city borders forbid ____ .,,
19,filler,7,Filler20.png,Fi,torn,26,The captain recalled that sails of the pirates' ship were ____ .,,
19,filler,14,Filler18.png,Fi,surgery,27,The patient had to wait for quite some time before ____ .,,
19,filler,5,Filler04.png,Fi,cleaned,28,The lieutenant ordered that the floors of the battalion's barracks were ____ .,,
19,26,26,BLprime08.png,BL,died,29,The social worker greeted the nurse of the senior-citizens who ____.,,L
19,11,11,HAprime04.png,HA,is under inverstigation,30,The secret service confiscated all files of the organisation that ____ .,,L
19,filler,2,Filler09.png,Fi,cried,31,"Because of last night's TV documentary, the old lady ____ .",,
19,filler,5,Filler17.png,Fi,stolen,32,The woman complained that the bicycles of the neighbour's kids were ____ .,,
19,filler,15,Filler10.png,Fi,he felt bad for them,33,The priest looked after the asylum seekers because ____ .,,
19,filler,7,Filler15.png,Fi,singing,34,The famous entertainer was given a bunch of flowers after ____ .,,
19,filler,15,Filler21.png,Fi,him,35,The racing driver showed the torn overall to ____ .,,
19,filler,4,Filler07.png,Fi,", it exploded",36,Shortly before the fully occupied passenger plane has landed ____ .,,
19,19,19,BLprime05.png,BL,he reviewed,37,The scientist criticised the method of the studies that ____ .,,L
56,filler,12,Filler02.png,Fi,rusted,2,The conductor noticed that the strings of the soloist's violin were ____ .,,
56,11,11,LAprime12.png,LA,failed,3,The scientist criticised the method of the studies that ____ .,,L
56,filler,0,Filler09.png,Fi,trespassing,4,The ranger of the forest near the city borders forbid ____ .,,
56,11,5,HAprime04.png,HA,killed his father,5,A stranger blackmailed the butler of the royals who ____ .,,U
56,filler,15,Filler21.png,Fi,deaths have dropped,6,Thanks to stricter speed checks on national motorways ____.,,
56,filler,3,Filler11.png,Fi,debuting,7,The famous entertainer was given a bunch of flowers after ____ .,,
56,filler,7,Filler20.png,Fi,stolen,8,The police learnt that the handbag of the diplomat's wife had been ____ .,,
56,filler,7,Filler23.png,Fi,I was fired.,9,Because of a considerable delay of the 7:30am train ____ .,,
56,filler,16,Filler19.png,Fi,died,10,The overeager Crown Prosecutor alleged that the lawyer ____ .,,
56,14,14,LAprime02.png,LA,died,11,The bus driver talked to the leader of the boy scouts who ____ .,,L
56,filler,14,Filler01.png,Fi,me,12,The barman slid a whiskey and a beer over to ____.,,
56,filler,4,Filler16.png,Fi,holey,13,The captain recalled that sails of the pirates' ship were ____ .,,
56,12,12,HAprime08.png,HA,tolled,14,The tourist guide mentioned the bells of the church that ____ .,,H
56,5,5,HAprime01.png,HA,contracted,15,The superintendent checked the earnings of the company that ____ .,,L
56,filler,3,Filler08.png,Fi,they'd be safe,16,The teenagers barricaded the main entrance of the school so that ____ .,,
56,filler,12,Filler22.png,Fi,here,17,Shortly before the fully occupied passenger plane has landed ____ .,,
56,filler,4,Filler07.png,Fi,departing,18,The speaker switched off the microphone before ____ .,,
